begin,end,id,lastUpdate,cause,severity,tags,title,message,shortMessage,stop_points,name,mode,status
2025-01-06 01:00:00,2025-06-06 23:00:00,4a2946e2-beae-11ef-b1c7-0a58a9feac02,20241220T094303,TRAVAUX,BLOQUANTE,,"4414, 4438 et TàD Etréchy, Travaux Chauffour-lès-Etréchy","Lignes 4414, 4438 et TàD Etréchy, du 6/01/2025 au 6/06/2025, en raison de travaux à Chauffour-lès-Etréchy l'arrêt “Grande Rue” sera reporté à la sortie du village en direction de Villeconin dans les 2 sens",,['Grande Rue'],4414,Bus,now
2025-04-08 00:00:00,2025-04-08 23:59:00,4e10e836-cea4-11ef-bc79-0a58a9feac02,20250228T154728,TRAVAUX,BLOQUANTE,['Actualité'],Fermeture avenue Jean Jaurès à Mantes-la-Ville en raison de travaux,"En raison de travaux avenue Jean Jaurès à Mantes-la-Ville, les arrêts Louise Michel, Mantes-la-Ville Poste, Mairie et Mantes Station ne seront pas desservis du lundi au vendredi uniquement du lundi 13 janvier 2025 jusqu'à la fin des travaux (prévue fin 2025). Merci de vous reporter aux arrêts suivants :Ligne M : Carnot, Calmette (en direction de la Gare de Mantes-la-Ville) et Place de l'Europe (en direction du Domaine de la Vallée)Ligne 88C : Carnot et Calmette Nous vous prions de nous excuser de la gêne occasionnée.",,"['Louise Michel', 'Mantes Station', 'Mantes-la-Ville Mairie', 'Poste']",88C,Bus,now
2025-04-08 00:00:00,2025-04-08 23:59:00,0bbdedb6-cea5-11ef-b1c7-0a58a9feac02,20250218T162628,TRAVAUX,BLOQUANTE,['Actualité'],Fermeture avenue Jean Jaurès à Mantes-la-Ville en raison de travaux,"En raison de travaux avenue Jean Jaurès à Mantes-la-Ville, les arrêts Valogne, Mantes-la-Ville Poste, Mairie et Mantes Station ne seront pas desservis du lundi au vendredi uniquement du lundi 13 janvier 2025 jusqu'à la fin des travaux (prévue fin 2025). Merci de vous reporter aux arrêts Carnot et Calmette. Nous vous prions de nous excuser de la gêne occasionnée.",,,,,now
2025-01-13 00:00:00,2025-12-31 23:59:00,30376efa-cea6-11ef-8d37-0a58a9feac02,20250109T172424,TRAVAUX,BLOQUANTE,['Actualité'],Fermeture avenue Jean Jaurès à Mantes-la-Ville en raison de travaux,"En raison de travaux avenue Jean Jaurès à Mantes-la-Ville, l'arrêt Mantes-la-Ville Poste (en direction du Lycée Condorcet uniquement) ne sera pas desservi du lundi 13 janvier 2025 jusqu'à la fin des travaux (prévue fin 2025). Merci de vous reporter à l'arrêt Sacré Cœur (situé rue Louise Michel). Nous vous prions de nous excuser de la gêne occasionnée.",,['Poste'],21,Bus,now
2025-01-13 00:00:00,2025-06-30 23:59:00,426b148c-ceab-11ef-8d37-0a58a9feac02,20250313T203153,TRAVAUX,BLOQUANTE,,🚧 5121 5152 - Travaux : Arrêt Golf National dans un sens non desservi,🚧 #Perturbations #Ligne5121 #Ligne5152📅 à partir du 13 janvier 2025📍 Travaux Grand Paris Express ❌ Arrêt Golf National en direction du Technocentre ✅ Se reporter à l'arrêt Villaroy Sud,,['Golf National'],5121,Bus,now
2025-01-12 00:31:00,2025-12-24 00:31:00,dead0f6a-d079-11ef-b1c7-0a58a9feac02,20250112T011211,TRAVAUX,BLOQUANTE,,Bus N21 : Travaux - Arrêt(s) non desservi(s),"La ligne N21 est déviée : les arrêts situés entre Petit Chambord - Lycée Lakanal et Division Leclerc - Camille Desmoulins ne sont plus desservis en direction de Châtelet. Reprise estimée : mercredi 24 décembre 2025, à partir de 00h31. Raison : travaux.Plus d'informations sur le site ratp.fr",,"['Barbusse - Larroumes', 'Carrefour des Poulets', 'Condorcet - Mairie RER', 'Division Leclerc - Camille Desmoulins', 'Galois', 'Petit Chambord - Lycée Lakanal', 'Rue des Jardins', 'Sous-Préfecture - Roseraie', ""Sous-Préfecture - Église de l'Hay-les-Roses""]",N21,Bus,now
2025-01-03 14:25:00,2025-12-04 03:16:00,8ba06762-d26e-11ef-971f-0a58a9feac02,20250114T125610,TRAVAUX,BLOQUANTE,,Bus 102 : Travaux - Arrêt(s) non desservi(s),"L’arrêt Collège Césaria Evora de la ligne 102 n'est pas desservi en direction de Gare de Rosny – Bois-Perrier. Reprise estimée : jeudi 4 décembre 2025, à partir de 03h16. Raison : travaux.Plus d'informations sur le site ratp.fr",,,,,now
2025-01-20 04:00:00,2025-05-30 23:00:00,5f95054a-d707-11ef-b937-0a58a9feac02,20250226T152150,TRAVAUX,BLOQUANTE,,Transdev STBC- Ligne 3 - Travaux Av de Chantereine,"En raison de travaux, avenue de Chantereine, une déviation doit être mise en place. Du lundi 20 janvier au vendredi 30 mai 2025.- En direction de la Gare de Chelles : les arrêts Collège Maria Callas, Le Chat ZI, Onze Arpents, Désiré Lefèvre, Les Clos, Levasseur ne seront pas desservis. Merci de vous reporter aux arrêts La Régale (poteau ligne 5 direction Gare de Lagny-Thorigny), ou Chantereine. - En direction de la Gare de Villeparisis / Eglise de Courtry : les arrêts Les Clos, Levasseur, Désiré Lefèvre, Onze Arpents, Le Chat ZI ne seront pas desservis. Merci de vous reporter aux arrêts Chantereine, La Régale (poteau Ligne 5 direction Hôpital de Montfermeil) ou Collège Maria CallasNous vous prions de bien vouloir nous excuser pour la gêne occasionnée.",,"['Collège Maria Callas', 'Désiré Lefèvre', 'Le Chat ZI', 'Le chat ZI', 'Les Clos', 'Levasseur', 'Onze Arpents']",3,Bus,now
2024-11-07 22:45:00,2025-05-31 07:00:00,dd3c1f28-dfb4-11ef-b937-0a58a9feac02,20250131T102217,TRAVAUX,BLOQUANTE,,Bus N31 : Travaux - Arrêt(s) non desservi(s),"La ligne N31 est déviée : les arrêts situés entre La Belle Épine et Belle Épine Sud ne sont plus desservis en direction de Aéroport d'Orly 4. Reprise estimée : samedi 31 mai 2025, à partir de 07h00. Raison : travaux.Plus d'informations sur le site ratp.fr",Arrêt(s) non desservi(s),"['Belle Epine Sud', 'Chevilly - Larue\u200b', 'La Belle Epine', 'Le Cor de Chasse']",N31,Bus,now
2025-01-11 00:51:00,2025-07-07 06:30:00,f8ef8864-e03a-11ef-b937-0a58a9feac02,20250201T022216,TRAVAUX,BLOQUANTE,,Bus N62 : Travaux - Arrêt(s) non desservi(s),"L’arrêt Mairie de Vanves - Centre Administratif de la ligne N62 n'est pas desservi en direction de Marché international de Rungis. Reprise estimée : lundi 7 juillet 2025, à partir de 06h30. Raison : travaux.Plus d'informations sur le site ratp.fr",Arrêt(s) non desservi(s),"['Mairie - Centre Administratif', 'Place du Maréchal De Lattre de Tassigny', 'Rue de Châtillon']",N62,Bus,now
