begin,end,id,lastUpdate,cause,severity,tags,title,message,shortMessage,stop_points,name,mode,status
2025-04-05 03:04:00,2025-04-06 23:49:00,74316236-8627-11ef-aca5-0a58a9feac02,20250401T120646,TRAVAUX,BLOQUANTE,['Actualité'],Travaux boulevard Carnot et Calmette,"En raison de travaux boulevard Carnot et Calmette à Mantes-la-Jolie, les arrêts suivants ne seront pas desservis :Ligne D : (Plaisances) Carnot reporté à Louise Michel et Calmette reporté à Mantes-la-Ville MairieLigne N : Calmette et Carnot reportés à Mantes-StationLigne A14 : Calmette reporté à Mantes-Stationles samedis 05 et 12 avril 2025, et les dimanches 6 et 13 avril 2025Nous vous prions de nous excuser de la gêne occasionnée.",,,,,now
2025-01-06 01:00:00,2025-06-06 23:00:00,4a2946e2-beae-11ef-b1c7-0a58a9feac02,20241220T094303,TRAVAUX,BLOQUANTE,,"4414, 4438 et TàD Etréchy, Travaux Chauffour-lès-Etréchy","Lignes 4414, 4438 et TàD Etréchy, du 6/01/2025 au 6/06/2025, en raison de travaux à Chauffour-lès-Etréchy l'arrêt “Grande Rue” sera reporté à la sortie du village en direction de Villeconin dans les 2 sens",,['Grande Rue'],4414,Bus,now
2025-01-13 00:00:00,2025-12-31 23:59:00,30376efa-cea6-11ef-8d37-0a58a9feac02,20250109T172424,TRAVAUX,BLOQUANTE,['Actualité'],Fermeture avenue Jean Jaurès à Mantes-la-Ville en raison de travaux,"En raison de travaux avenue Jean Jaurès à Mantes-la-Ville, l'arrêt Mantes-la-Ville Poste (en direction du Lycée Condorcet uniquement) ne sera pas desservi du lundi 13 janvier 2025 jusqu'à la fin des travaux (prévue fin 2025). Merci de vous reporter à l'arrêt Sacré Cœur (situé rue Louise Michel). Nous vous prions de nous excuser de la gêne occasionnée.",,['Poste'],21,Bus,now
2025-01-13 00:00:00,2025-06-30 23:59:00,426b148c-ceab-11ef-8d37-0a58a9feac02,20250313T203153,TRAVAUX,BLOQUANTE,,🚧 5121 5152 - Travaux : Arrêt Golf National dans un sens non desservi,🚧 #Perturbations #Ligne5121 #Ligne5152📅 à partir du 13 janvier 2025📍 Travaux Grand Paris Express ❌ Arrêt Golf National en direction du Technocentre ✅ Se reporter à l'arrêt Villaroy Sud,,['Golf National'],5121,Bus,now
2025-01-12 00:31:00,2025-12-24 00:31:00,dead0f6a-d079-11ef-b1c7-0a58a9feac02,20250112T011211,TRAVAUX,BLOQUANTE,,Bus N21 : Travaux - Arrêt(s) non desservi(s),"La ligne N21 est déviée : les arrêts situés entre Petit Chambord - Lycée Lakanal et Division Leclerc - Camille Desmoulins ne sont plus desservis en direction de Châtelet. Reprise estimée : mercredi 24 décembre 2025, à partir de 00h31. Raison : travaux.Plus d'informations sur le site ratp.fr",,"['Barbusse - Larroumes', 'Carrefour des Poulets', 'Condorcet - Mairie RER', 'Division Leclerc - Camille Desmoulins', 'Galois', 'Petit Chambord - Lycée Lakanal', 'Rue des Jardins', 'Sous-Préfecture - Roseraie', ""Sous-Préfecture - Église de l'Hay-les-Roses""]",N21,Bus,now
2025-01-03 14:25:00,2025-12-04 03:16:00,8ba06762-d26e-11ef-971f-0a58a9feac02,20250114T125610,TRAVAUX,BLOQUANTE,,Bus 102 : Travaux - Arrêt(s) non desservi(s),"L’arrêt Collège Césaria Evora de la ligne 102 n'est pas desservi en direction de Gare de Rosny – Bois-Perrier. Reprise estimée : jeudi 4 décembre 2025, à partir de 03h16. Raison : travaux.Plus d'informations sur le site ratp.fr",,,,,now
2025-01-20 04:00:00,2025-05-30 23:00:00,5f95054a-d707-11ef-b937-0a58a9feac02,20250226T152150,TRAVAUX,BLOQUANTE,,Transdev STBC- Ligne 3 - Travaux Av de Chantereine,"En raison de travaux, avenue de Chantereine, une déviation doit être mise en place. Du lundi 20 janvier au vendredi 30 mai 2025.- En direction de la Gare de Chelles : les arrêts Collège Maria Callas, Le Chat ZI, Onze Arpents, Désiré Lefèvre, Les Clos, Levasseur ne seront pas desservis. Merci de vous reporter aux arrêts La Régale (poteau ligne 5 direction Gare de Lagny-Thorigny), ou Chantereine. - En direction de la Gare de Villeparisis / Eglise de Courtry : les arrêts Les Clos, Levasseur, Désiré Lefèvre, Onze Arpents, Le Chat ZI ne seront pas desservis. Merci de vous reporter aux arrêts Chantereine, La Régale (poteau Ligne 5 direction Hôpital de Montfermeil) ou Collège Maria CallasNous vous prions de bien vouloir nous excuser pour la gêne occasionnée.",,"['Collège Maria Callas', 'Désiré Lefèvre', 'Le Chat ZI', 'Le chat ZI', 'Les Clos', 'Levasseur', 'Onze Arpents']",3,Bus,now
2025-01-24 10:25:00,2025-12-31 00:00:00,ff7b614e-da31-11ef-abd9-0a58a9feac02,20250124T100254,TRAVAUX,BLOQUANTE,,Vallée de Montmorency - Arrêt non desservi - L1537,"En raison de travaux à Épinay-sur-Seine, l’arrêt « Les Arcades » en direction des Flanades ne sera pas desservi.Du vendredi 29 novembre 2024 jusqu’à la fin des travauxVeuillez-vous reporter à l’arrêt de la Gare d’Épinay Villetaneuse  Anticipez dès à présent vos déplacements.",,"[""Gare d'Epinay-Villetaneuse - Les Arcades""]",361,Bus,now
2025-01-08 23:50:00,2025-04-07 06:30:00,d4154be0-ddcf-11ef-a594-0a58a9feac02,20250129T003015,TRAVAUX,BLOQUANTE,,Bus N45 : Travaux - Arrêt(s) non desservi(s),"La ligne N45 est déviée : les arrêts situés entre Avenue de Metz et Avenue de Rosny ne sont plus desservis en direction de Hôpital de Montfermeil. Reprise estimée : lundi 7 avril 2025, à partir de 06h30. Raison : travaux.Plus d'informations sur le site ratp.fr",Arrêt(s) non desservi(s),"['Archives départementales', 'Avenue de Metz', 'Avenue de Rosny', 'Bobigny - Pablo Picasso', 'Centre Commercial', 'Cité Administrative', 'Jean Jaurès', 'La Folie', 'Lamartine / Jean Rostand', 'Pont de Bondy', 'Rue des Peupliers']",N45,Bus,now
2024-11-07 22:45:00,2025-05-31 07:00:00,dd3c1f28-dfb4-11ef-b937-0a58a9feac02,20250131T102217,TRAVAUX,BLOQUANTE,,Bus N31 : Travaux - Arrêt(s) non desservi(s),"La ligne N31 est déviée : les arrêts situés entre La Belle Épine et Belle Épine Sud ne sont plus desservis en direction de Aéroport d'Orly 4. Reprise estimée : samedi 31 mai 2025, à partir de 07h00. Raison : travaux.Plus d'informations sur le site ratp.fr",Arrêt(s) non desservi(s),"['Belle Epine Sud', 'Chevilly - Larue\u200b', 'La Belle Epine', 'Le Cor de Chasse']",N31,Bus,now
